Feature,Importance
Class,0.8811122405565487
time_taken,0.04764616428298975
flight_code,0.024966355528177796
Days_Left,0.013502374291851891
destinate_city,0.006415140582062216
source_city,0.004058324954282949
dep_time_category,0.0022618819534061725
arr_time_category,0.0015995165465250347
stop,0.0012970101222264819
airline,0.0012274416567174037
